"Índice","Data do valor","Valor","2021","Últimos 12 meses"
"CDI","Set/21","0.26%","0.26%","0.26%"
"IGP-10 (FGV)","Set/21","-0.37%","14.91%","26.84%"
"IGP-DI (FGV)","Ago/21","-0.14%","12.49%","28.22%"
"IGP-M (FGV)","Ago/21","0.66%","13.82%","31.13%"
"INCC-DI (FGV)","Ago/21","0.46%","10.18%","16.67%"
"INCC-M (FGV)","Ago/21","0.56%","10.34%","17.05%"
"INPC (IBGE)","Ago/21","0.88%","5.65%","10.42%"
"IPA-DI (FGV)","Ago/21","-0.42%","14.83%","35.85%"
"IPA-M (FGV)","Ago/21","0.66%","16.69%","39.99%"
"IPC (Fipe)","Ago/21","1.44%","4.41%","9.73%"
"IPC-DI (FGV)","Ago/21","0.71%","4.95%","8.94%"
"IPC-M (FGV)","Ago/21","0.75%","4.62%","8.60%"
"IPCA (IBGE)","Ago/21","0.87%","5.41%","9.68%"
